PERF: instrs=23687, cycles=217709, IPC=0.108801
PERF: instrs=19803, cycles=169790, IPC=0.116632
PERF: instrs=23449, cycles=189280, IPC=0.123885
PERF: instrs=27095, cycles=208951, IPC=0.129672
PERF: instrs=27034, cycles=192321, IPC=0.140567
PERF: instrs=30685, cycles=230834, IPC=0.132931
PERF: instrs=34331, cycles=250402, IPC=0.137104
PERF: instrs=37977, cycles=270063, IPC=0.140623
PERF: instrs=37918, cycles=197136, IPC=0.192344
PERF: instrs=41569, cycles=235668, IPC=0.176388
PERF: instrs=45242, cycles=255554, IPC=0.177035
PERF: instrs=48946, cycles=276063, IPC=0.177300
PERF: instrs=48916, cycles=201670, IPC=0.242555
PERF: instrs=52625, cycles=240444, IPC=0.218866
PERF: instrs=56329, cycles=260820, IPC=0.215969
PERF: instrs=60033, cycles=281297, IPC=0.213415
PERF: instrs=59947, cycles=206529, IPC=0.290259
PERF: instrs=63657, cycles=246506, IPC=0.258237
PERF: instrs=67361, cycles=266796, IPC=0.252481
PERF: instrs=71065, cycles=287170, IPC=0.247467
PERF: instrs=70715, cycles=266347, IPC=0.265500
PERF: instrs=74424, cycles=305073, IPC=0.243955
PERF: instrs=78128, cycles=325994, IPC=0.239661
PERF: instrs=81832, cycles=346515, IPC=0.236157
PERF: instrs=81475, cycles=269373, IPC=0.302462
PERF: instrs=85184, cycles=308935, IPC=0.275734
PERF: instrs=88886, cycles=329587, IPC=0.269689
PERF: instrs=92590, cycles=349888, IPC=0.264628
PERF: instrs=92233, cycles=272597, IPC=0.338349
PERF: instrs=95942, cycles=312334, IPC=0.307178
PERF: instrs=99646, cycles=332782, IPC=0.299433
PERF: instrs=103350, cycles=353289, IPC=0.292537
PERF: instrs=103011, cycles=276028, IPC=0.373190
PERF: instrs=103221, cycles=353500, IPC=0.291997
PERF: instrs=99521, cycles=333063, IPC=0.298805
PERF: instrs=95821, cycles=313177, IPC=0.305964
PERF: instrs=92116, cycles=273586, IPC=0.336699
PERF: instrs=92477, cycles=349948, IPC=0.264259
PERF: instrs=88777, cycles=329495, IPC=0.269434
PERF: instrs=85079, cycles=308807, IPC=0.275509
PERF: instrs=81374, cycles=269999, IPC=0.301386
PERF: instrs=81735, cycles=346949, IPC=0.235582
PERF: instrs=78035, cycles=326510, IPC=0.238997
PERF: instrs=74335, cycles=306351, IPC=0.242647
PERF: instrs=70630, cycles=266597, IPC=0.264932
PERF: instrs=70984, cycles=286973, IPC=0.247354
PERF: instrs=67284, cycles=266526, IPC=0.252448
PERF: instrs=63584, cycles=246231, IPC=0.258229
PERF: instrs=59878, cycles=206773, IPC=0.289583
PERF: instrs=59968, cycles=281463, IPC=0.213058
PERF: instrs=56268, cycles=261045, IPC=0.215549
PERF: instrs=52568, cycles=241058, IPC=0.218072
PERF: instrs=48863, cycles=201265, IPC=0.242779
PERF: instrs=48897, cycles=275533, IPC=0.177463
PERF: instrs=45197, cycles=255048, IPC=0.177210
PERF: instrs=41528, cycles=235152, IPC=0.176601
PERF: instrs=37881, cycles=196675, IPC=0.192607
PERF: instrs=37944, cycles=269955, IPC=0.140557
PERF: instrs=34302, cycles=250310, IPC=0.137038
PERF: instrs=30660, cycles=230768, IPC=0.132861
PERF: instrs=27013, cycles=192288, IPC=0.140482
PERF: instrs=27078, cycles=208836, IPC=0.129662
PERF: instrs=23436, cycles=189223, IPC=0.123854
PERF: instrs=19794, cycles=169642, IPC=0.116681
PERF: instrs=19967, cycles=170039, IPC=0.117426
PERF: instrs=23636, cycles=189514, IPC=0.124719
PERF: instrs=27305, cycles=209147, IPC=0.130554
PERF: instrs=27267, cycles=191365, IPC=0.142487
PERF: instrs=30941, cycles=229977, IPC=0.134540
PERF: instrs=34610, cycles=249547, IPC=0.138691
PERF: instrs=38279, cycles=269233, IPC=0.142178
PERF: instrs=38243, cycles=195771, IPC=0.195346
PERF: instrs=41917, cycles=234646, IPC=0.178639
PERF: instrs=45613, cycles=254641, IPC=0.179127
PERF: instrs=49340, cycles=275067, IPC=0.179374
PERF: instrs=49333, cycles=200848, IPC=0.245624
PERF: instrs=53065, cycles=239674, IPC=0.221405
PERF: instrs=56792, cycles=259719, IPC=0.218667
PERF: instrs=60519, cycles=280622, IPC=0.215660
PERF: instrs=60456, cycles=204970, IPC=0.294950
PERF: instrs=64189, cycles=244882, IPC=0.262122
PERF: instrs=67916, cycles=264699, IPC=0.256578
