PERF: core3: instrs=39126, cycles=148885, IPC=0.262793
PERF: instrs=163012, cycles=163313, IPC=0.998157
PERF: core0: instrs=42380, cycles=141186, IPC=0.300171
PERF: core1: instrs=42380, cycles=171766, IPC=0.246731
PERF: core2: instrs=42380, cycles=170377, IPC=0.248742
PERF: core3: instrs=39126, cycles=140782, IPC=0.277919
PERF: instrs=166266, cycles=171766, IPC=0.967980
PERF: core0: instrs=42378, cycles=155898, IPC=0.271832
PERF: core1: instrs=42378, cycles=165915, IPC=0.255420
PERF: core2: instrs=42378, cycles=168552, IPC=0.251424
PERF: core3: instrs=42378, cycles=155896, IPC=0.271835
PERF: instrs=169512, cycles=168552, IPC=1.005696
PERF: core0: instrs=45632, cycles=171301, IPC=0.266385
PERF: core1: instrs=42378, cycles=164224, IPC=0.258050
PERF: core2: instrs=42378, cycles=133382, IPC=0.317719
PERF: core3: instrs=42378, cycles=166689, IPC=0.254234
PERF: instrs=172766, cycles=171301, IPC=1.008552
PERF: core0: instrs=45632, cycles=151108, IPC=0.301983
PERF: core1: instrs=45632, cycles=154688, IPC=0.294994
PERF: core2: instrs=42378, cycles=165574, IPC=0.255946
PERF: core3: instrs=42378, cycles=146941, IPC=0.288401
PERF: instrs=176020, cycles=165574, IPC=1.063090
PERF: core0: instrs=45632, cycles=172441, IPC=0.264624
PERF: core1: instrs=45632, cycles=169445, IPC=0.269303
PERF: core2: instrs=45632, cycles=135570, IPC=0.336594
PERF: core3: instrs=42378, cycles=173536, IPC=0.244203
PERF: instrs=179274, cycles=173536, IPC=1.033065
PERF: core0: instrs=45630, cycles=168489, IPC=0.270819
PERF: core1: instrs=45630, cycles=163904, IPC=0.278395
PERF: core2: instrs=45630, cycles=169187, IPC=0.269702
PERF: core3: instrs=45630, cycles=135950, IPC=0.335638
PERF: instrs=182520, cycles=169187, IPC=1.078806
PERF: core0: instrs=48884, cycles=168324, IPC=0.290416
PERF: core1: instrs=45630, cycles=143304, IPC=0.318414
PERF: core2: instrs=45630, cycles=137051, IPC=0.332942
PERF: core3: instrs=45630, cycles=168569, IPC=0.270690
PERF: instrs=185774, cycles=168569, IPC=1.102065
PERF: core0: instrs=48884, cycles=166856, IPC=0.292971
PERF: core1: instrs=48884, cycles=175287, IPC=0.278880
PERF: core2: instrs=45630, cycles=176777, IPC=0.258122
PERF: core3: instrs=45630, cycles=177670, IPC=0.256824
PERF: instrs=189028, cycles=177670, IPC=1.063928
PERF: core0: instrs=48884, cycles=171862, IPC=0.284438
PERF: core1: instrs=48884, cycles=168058, IPC=0.290876
PERF: core2: instrs=48884, cycles=138408, IPC=0.353188
PERF: core3: instrs=45630, cycles=172690, IPC=0.264231
PERF: instrs=192282, cycles=172690, IPC=1.113452
PERF: core0: instrs=48882, cycles=176144, IPC=0.277512
PERF: core1: instrs=48882, cycles=161373, IPC=0.302913
PERF: core2: instrs=48882, cycles=179915, IPC=0.271695
PERF: core3: instrs=48882, cycles=172923, IPC=0.282681
PERF: instrs=195528, cycles=179915, IPC=1.086780
PERF: core0: instrs=49012, cycles=143509, IPC=0.341526
PERF: core1: instrs=49012, cycles=181230, IPC=0.270441
PERF: core2: instrs=49012, cycles=174995, IPC=0.280077
PERF: core3: instrs=45742, cycles=177680, IPC=0.257440
