PERF: core5: instrs=14281, cycles=174494, IPC=0.081842
PERF: core6: instrs=14284, cycles=172807, IPC=0.082659
PERF: core7: instrs=14281, cycles=172987, IPC=0.082555
PERF: core8: instrs=14281, cycles=175069, IPC=0.081574
PERF: core9: instrs=14281, cycles=173550, IPC=0.082288
PERF: core10: instrs=14284, cycles=169242, IPC=0.084400
PERF: core11: instrs=14281, cycles=172459, IPC=0.082808
PERF: core12: instrs=14284, cycles=171848, IPC=0.083120
PERF: core13: instrs=14281, cycles=171967, IPC=0.083045
PERF: core14: instrs=14281, cycles=175100, IPC=0.081559
PERF: core15: instrs=14281, cycles=173168, IPC=0.082469
PERF: instrs=256491, cycles=377566, IPC=0.679328
PERF: core0: instrs=38335, cycles=314602, IPC=0.121852
PERF: core1: instrs=14281, cycles=175443, IPC=0.081400
PERF: core2: instrs=14284, cycles=172193, IPC=0.082953
PERF: core3: instrs=14281, cycles=175444, IPC=0.081399
PERF: core4: instrs=14281, cycles=173541, IPC=0.082292
PERF: core5: instrs=14281, cycles=174565, IPC=0.081809
PERF: core6: instrs=14284, cycles=172878, IPC=0.082625
PERF: core7: instrs=14281, cycles=173058, IPC=0.082521
PERF: core8: instrs=14281, cycles=175140, IPC=0.081540
PERF: core9: instrs=14281, cycles=173621, IPC=0.082254
PERF: core10: instrs=14284, cycles=169313, IPC=0.084364
PERF: core11: instrs=14281, cycles=172530, IPC=0.082774
PERF: core12: instrs=14284, cycles=171919, IPC=0.083086
PERF: core13: instrs=14281, cycles=172038, IPC=0.083011
PERF: core14: instrs=14281, cycles=175171, IPC=0.081526
PERF: core15: instrs=14281, cycles=173239, IPC=0.082435
PERF: instrs=252562, cycles=314602, IPC=0.802798
PERF: core0: instrs=42042, cycles=358240, IPC=0.117357
PERF: core1: instrs=14281, cycles=175421, IPC=0.081410
PERF: core2: instrs=14284, cycles=172171, IPC=0.082964
PERF: core3: instrs=14281, cycles=175422, IPC=0.081409
PERF: core4: instrs=14281, cycles=173519, IPC=0.082302
PERF: core5: instrs=14281, cycles=174543, IPC=0.081819
PERF: core6: instrs=14284, cycles=172856, IPC=0.082635
PERF: core7: instrs=14281, cycles=173036, IPC=0.082532
PERF: core8: instrs=14281, cycles=175118, IPC=0.081551
PERF: core9: instrs=14281, cycles=173599, IPC=0.082264
PERF: core10: instrs=14284, cycles=169291, IPC=0.084375
PERF: core11: instrs=14281, cycles=172508, IPC=0.082785
PERF: core12: instrs=14284, cycles=171897, IPC=0.083096
PERF: core13: instrs=14281, cycles=172016, IPC=0.083021
PERF: core14: instrs=14281, cycles=175149, IPC=0.081536
PERF: core15: instrs=14281, cycles=173217, IPC=0.082446
PERF: instrs=256269, cycles=358240, IPC=0.715356
PERF: core0: instrs=45771, cycles=383977, IPC=0.119202
PERF: core1: instrs=14311, cycles=170422, IPC=0.083974
PERF: core2: instrs=14308, cycles=174203, IPC=0.082134
PERF: core3: instrs=14308, cycles=174917, IPC=0.081799
PERF: core4: instrs=14311, cycles=170183, IPC=0.084092
PERF: core5: instrs=14308, cycles=175488, IPC=0.081533
PERF: core6: instrs=14308, cycles=172824, IPC=0.082789
PERF: core7: instrs=14308, cycles=173564, IPC=0.082436
PERF: core8: instrs=14308, cycles=174190, IPC=0.082140
PERF: core9: instrs=14311, cycles=173856, IPC=0.082315
PERF: core10: instrs=14308, cycles=176166, IPC=0.081219
PERF: core11: instrs=14308, cycles=176606, IPC=0.081017
PERF: core12: instrs=14308, cycles=174580, IPC=0.081957
PERF: core13: instrs=14311, cycles=170567, IPC=0.083903
