PERF: core5: instrs=12490, cycles=161205, IPC=0.077479
PERF: core6: instrs=12490, cycles=161206, IPC=0.077479
PERF: core7: instrs=12490, cycles=162660, IPC=0.076786
PERF: core8: instrs=12490, cycles=161143, IPC=0.077509
PERF: core9: instrs=12490, cycles=161633, IPC=0.077274
PERF: core10: instrs=12490, cycles=157327, IPC=0.079389
PERF: core11: instrs=12490, cycles=161932, IPC=0.077131
PERF: core12: instrs=12490, cycles=160443, IPC=0.077847
PERF: core13: instrs=12490, cycles=161575, IPC=0.077302
PERF: core14: instrs=12490, cycles=159196, IPC=0.078457
PERF: core15: instrs=12490, cycles=156823, IPC=0.079644
PERF: instrs=315506, cycles=1870593, IPC=0.168666
PERF: core0: instrs=128151, cycles=1871679, IPC=0.068468
PERF: core1: instrs=12489, cycles=159841, IPC=0.078134
PERF: core2: instrs=12489, cycles=155447, IPC=0.080342
PERF: core3: instrs=12489, cycles=158132, IPC=0.078978
PERF: core4: instrs=12489, cycles=158911, IPC=0.078591
PERF: core5: instrs=12489, cycles=160939, IPC=0.077601
PERF: core6: instrs=12489, cycles=157574, IPC=0.079258
PERF: core7: instrs=12489, cycles=160776, IPC=0.077680
PERF: core8: instrs=12489, cycles=159524, IPC=0.078289
PERF: core9: instrs=12489, cycles=158285, IPC=0.078902
PERF: core10: instrs=12489, cycles=155182, IPC=0.080480
PERF: core11: instrs=12489, cycles=160387, IPC=0.077868
PERF: core12: instrs=12489, cycles=158994, IPC=0.078550
PERF: core13: instrs=12489, cycles=160122, IPC=0.077997
PERF: core14: instrs=12489, cycles=158763, IPC=0.078664
PERF: core15: instrs=12489, cycles=155375, IPC=0.080380
PERF: instrs=315486, cycles=1871679, IPC=0.168558
PERF: core0: instrs=128125, cycles=1871298, IPC=0.068469
PERF: core1: instrs=12461, cycles=159101, IPC=0.078321
PERF: core2: instrs=12461, cycles=154932, IPC=0.080429
PERF: core3: instrs=12461, cycles=159364, IPC=0.078192
PERF: core4: instrs=12461, cycles=161165, IPC=0.077318
PERF: core5: instrs=12461, cycles=160523, IPC=0.077628
PERF: core6: instrs=12461, cycles=158491, IPC=0.078623
PERF: core7: instrs=12461, cycles=160947, IPC=0.077423
PERF: core8: instrs=12461, cycles=159758, IPC=0.077999
PERF: core9: instrs=12461, cycles=158725, IPC=0.078507
PERF: core10: instrs=12461, cycles=155197, IPC=0.080292
PERF: core11: instrs=12461, cycles=160250, IPC=0.077760
PERF: core12: instrs=12461, cycles=160687, IPC=0.077548
PERF: core13: instrs=12461, cycles=160080, IPC=0.077842
PERF: core14: instrs=12461, cycles=157836, IPC=0.078949
PERF: core15: instrs=12461, cycles=155201, IPC=0.080289
PERF: instrs=315040, cycles=1871298, IPC=0.168354
PERF: core0: instrs=128150, cycles=1870515, IPC=0.068511
PERF: core1: instrs=12490, cycles=159825, IPC=0.078148
PERF: core2: instrs=12490, cycles=156749, IPC=0.079682
PERF: core3: instrs=12490, cycles=161117, IPC=0.077521
PERF: core4: instrs=12490, cycles=162447, IPC=0.076887
PERF: core5: instrs=12490, cycles=161205, IPC=0.077479
PERF: core6: instrs=12490, cycles=161206, IPC=0.077479
PERF: core7: instrs=12490, cycles=162660, IPC=0.076786
PERF: core8: instrs=12490, cycles=161143, IPC=0.077509
PERF: core9: instrs=12490, cycles=161633, IPC=0.077274
PERF: core10: instrs=12490, cycles=157327, IPC=0.079389
PERF: core11: instrs=12490, cycles=161932, IPC=0.077131
PERF: core12: instrs=12490, cycles=160443, IPC=0.077847
PERF: core13: instrs=12490, cycles=161575, IPC=0.077302
PERF: core14: instrs=12490, cycles=159196, IPC=0.078457
PERF: core15: instrs=12490, cycles=156823, IPC=0.079644
PERF: instrs=315500, cycles=1870515, IPC=0.168670
PERF: core0: instrs=128160, cycles=1870714, IPC=0.068509
PERF: core1: instrs=12490, cycles=159825, IPC=0.078148
PERF: core2: instrs=12490, cycles=156749, IPC=0.079682
PERF: core3: instrs=12490, cycles=161117, IPC=0.077521
PERF: core4: instrs=12490, cycles=162447, IPC=0.076887
PERF: core5: instrs=12490, cycles=161205, IPC=0.077479
PERF: core6: instrs=12490, cycles=161206, IPC=0.077479
PERF: core7: instrs=12490, cycles=162660, IPC=0.076786
PERF: core8: instrs=12490, cycles=161143, IPC=0.077509
PERF: core9: instrs=12490, cycles=161633, IPC=0.077274
PERF: core10: instrs=12490, cycles=157327, IPC=0.079389
PERF: core11: instrs=12490, cycles=161932, IPC=0.077131
PERF: core12: instrs=12490, cycles=160443, IPC=0.077847
PERF: core13: instrs=12490, cycles=161575, IPC=0.077302
PERF: core14: instrs=12490, cycles=159196, IPC=0.078457
PERF: core15: instrs=12490, cycles=156823, IPC=0.079644
PERF: instrs=315510, cycles=1870714, IPC=0.168658
PERF: core0: instrs=128131, cycles=1871422, IPC=0.068467
PERF: core1: instrs=12461, cycles=159101, IPC=0.078321
PERF: core2: instrs=12461, cycles=154932, IPC=0.080429
