PERF: core0: instrs=367262, cycles=1599290, IPC=0.229641
PERF: core1: instrs=107940, cycles=1244904, IPC=0.086705
PERF: core2: instrs=107940, cycles=1244905, IPC=0.086705
PERF: core3: instrs=107940, cycles=1244903, IPC=0.086706
PERF: instrs=691082, cycles=1599290, IPC=0.432118
PERF: core0: instrs=234633, cycles=1414277, IPC=0.165903
PERF: core1: instrs=236489, cycles=1416865, IPC=0.166910
PERF: core2: instrs=52655, cycles=530889, IPC=0.099183
PERF: core3: instrs=52655, cycles=530890, IPC=0.099183
PERF: instrs=576432, cycles=1416865, IPC=0.406836
PERF: core0: instrs=232813, cycles=1492990, IPC=0.155937
PERF: core1: instrs=233749, cycles=1485191, IPC=0.157386
PERF: core2: instrs=52641, cycles=515363, IPC=0.102144
PERF: core3: instrs=52641, cycles=515364, IPC=0.102143
PERF: instrs=571844, cycles=1492990, IPC=0.383019
PERF: core0: instrs=72692, cycles=499431, IPC=0.145550
PERF: core1: instrs=52641, cycles=440557, IPC=0.119487
PERF: core2: instrs=52641, cycles=440558, IPC=0.119487
PERF: core3: instrs=52641, cycles=440559, IPC=0.119487
PERF: instrs=230615, cycles=499431, IPC=0.461755
PERF: core0: instrs=22400268, cycles=267140512, IPC=0.083852
PERF: core1: instrs=22332276, cycles=267046723, IPC=0.083627
PERF: core2: instrs=22332276, cycles=266975043, IPC=0.083649
PERF: core3: instrs=22229590, cycles=266080789, IPC=0.083545
PERF: instrs=89294410, cycles=267140512, IPC=0.334260
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
PERF: core0: instrs=22400268, cycles=267256398, IPC=0.083816
PERF: core1: instrs=22332276, cycles=267088494, IPC=0.083614
PERF: core2: instrs=22332276, cycles=267032184, IPC=0.083631
PERF: core3: instrs=22229590, cycles=266268397, IPC=0.083486
PERF: instrs=89294410, cycles=267256398, IPC=0.334115
