PERF: core1: instrs=755790, cycles=9428797, IPC=0.080158
PERF: core2: instrs=755790, cycles=9422065, IPC=0.080215
PERF: core3: instrs=726658, cycles=9280283, IPC=0.078301
PERF: instrs=3013891, cycles=9452239, IPC=0.318855
PERF: core0: instrs=96712, cycles=633233, IPC=0.152727
PERF: core1: instrs=52641, cycles=439199, IPC=0.119857
PERF: core2: instrs=52641, cycles=439195, IPC=0.119858
PERF: core3: instrs=52641, cycles=439346, IPC=0.119817
PERF: instrs=254635, cycles=633233, IPC=0.402119
PERF: core0: instrs=774676, cycles=9442740, IPC=0.082039
PERF: core1: instrs=754830, cycles=9422912, IPC=0.080106
PERF: core2: instrs=754830, cycles=9398077, IPC=0.080317
PERF: core3: instrs=725900, cycles=9324346, IPC=0.077850
PERF: instrs=3010236, cycles=9442740, IPC=0.318788
PERF: core0: instrs=96689, cycles=628219, IPC=0.153910
PERF: core1: instrs=52641, cycles=434277, IPC=0.121215
PERF: core2: instrs=52641, cycles=434089, IPC=0.121268
PERF: core3: instrs=52641, cycles=434090, IPC=0.121267
PERF: instrs=254612, cycles=628219, IPC=0.405292
PERF: core0: instrs=773699, cycles=9427012, IPC=0.082073
PERF: core1: instrs=753868, cycles=9352277, IPC=0.080608
PERF: core2: instrs=753870, cycles=9389545, IPC=0.080288
PERF: core3: instrs=719290, cycles=9387978, IPC=0.076618
PERF: instrs=3000727, cycles=9427012, IPC=0.318312
PERF: core0: instrs=96666, cycles=623795, IPC=0.154964
PERF: core1: instrs=52641, cycles=430588, IPC=0.122254
PERF: core2: instrs=52641, cycles=430462, IPC=0.122290
PERF: core3: instrs=52641, cycles=430463, IPC=0.122289
PERF: instrs=254589, cycles=623795, IPC=0.408129
PERF: core0: instrs=772722, cycles=9428711, IPC=0.081954
PERF: core1: instrs=752910, cycles=9373654, IPC=0.080322
PERF: core2: instrs=752910, cycles=9351201, IPC=0.080515
PERF: core3: instrs=718552, cycles=9344451, IPC=0.076896
PERF: instrs=2997094, cycles=9428711, IPC=0.317869
PERF: core0: instrs=96643, cycles=620135, IPC=0.155842
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254566, cycles=620135, IPC=0.410501
PERF: core0: instrs=771745, cycles=9426996, IPC=0.081865
PERF: core1: instrs=751948, cycles=9355964, IPC=0.080371
PERF: core2: instrs=751950, cycles=9393132, IPC=0.080053
PERF: core3: instrs=712024, cycles=9293508, IPC=0.076615
PERF: instrs=2987667, cycles=9426996, IPC=0.316927
PERF: core0: instrs=96620, cycles=634025, IPC=0.152391
PERF: core1: instrs=52641, cycles=438894, IPC=0.119940
PERF: core2: instrs=52641, cycles=438718, IPC=0.119988
PERF: core3: instrs=52641, cycles=438921, IPC=0.119933
PERF: instrs=254543, cycles=634025, IPC=0.401472
PERF: core0: instrs=770768, cycles=9384169, IPC=0.082135
PERF: core1: instrs=750990, cycles=9341339, IPC=0.080394
PERF: core2: instrs=750990, cycles=9315874, IPC=0.080614
PERF: core3: instrs=711308, cycles=9256842, IPC=0.076841
PERF: instrs=2984056, cycles=9384169, IPC=0.317988
PERF: core0: instrs=96599, cycles=622761, IPC=0.155114
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254522, cycles=622761, IPC=0.408699
PERF: core0: instrs=769791, cycles=9387761, IPC=0.081999
PERF: core1: instrs=750030, cycles=9338329, IPC=0.080317
PERF: core2: instrs=750030, cycles=9370249, IPC=0.080044
PERF: core3: instrs=704862, cycles=9275046, IPC=0.075996
PERF: instrs=2974713, cycles=9387761, IPC=0.316871
PERF: core0: instrs=96578, cycles=627535, IPC=0.153901
PERF: core1: instrs=52641, cycles=434184, IPC=0.121241
PERF: core2: instrs=52641, cycles=434215, IPC=0.121233
PERF: core3: instrs=52641, cycles=434240, IPC=0.121226
PERF: instrs=254501, cycles=627535, IPC=0.405557
PERF: core0: instrs=768814, cycles=9405928, IPC=0.081737
PERF: core1: instrs=749070, cycles=9361872, IPC=0.080013
PERF: core2: instrs=749070, cycles=9326447, IPC=0.080317
PERF: core3: instrs=704168, cycles=9287491, IPC=0.075819
PERF: instrs=2971122, cycles=9405928, IPC=0.315878
PERF: core0: instrs=96557, cycles=627991, IPC=0.153755
PERF: core1: instrs=52641, cycles=434393, IPC=0.121183
PERF: core2: instrs=52641, cycles=434416, IPC=0.121176
PERF: core3: instrs=52641, cycles=434440, IPC=0.121170
PERF: instrs=254480, cycles=627991, IPC=0.405229
PERF: core0: instrs=767837, cycles=9382996, IPC=0.081833
PERF: core1: instrs=748110, cycles=9322097, IPC=0.080251
PERF: core2: instrs=748110, cycles=9339449, IPC=0.080102
PERF: core3: instrs=697802, cycles=9226441, IPC=0.075631
PERF: instrs=2961859, cycles=9382996, IPC=0.315662
PERF: core0: instrs=96536, cycles=630149, IPC=0.153196
PERF: core1: instrs=52641, cycles=435385, IPC=0.120907
PERF: core2: instrs=52641, cycles=435381, IPC=0.120908
PERF: core3: instrs=52641, cycles=435547, IPC=0.120862
PERF: instrs=254459, cycles=630149, IPC=0.403808
PERF: core0: instrs=766860, cycles=9396988, IPC=0.081607
PERF: core1: instrs=747150, cycles=9329372, IPC=0.080086
PERF: core2: instrs=747150, cycles=9377728, IPC=0.079673
PERF: core3: instrs=697134, cycles=9298611, IPC=0.074972
PERF: instrs=2958294, cycles=9396988, IPC=0.314813
PERF: core0: instrs=96515, cycles=630520, IPC=0.153072
PERF: core1: instrs=52642, cycles=434867, IPC=0.121053
PERF: core2: instrs=52642, cycles=434868, IPC=0.121053
PERF: core3: instrs=52641, cycles=434865, IPC=0.121051
PERF: instrs=254440, cycles=630520, IPC=0.403540
PERF: core0: instrs=765883, cycles=9372268, IPC=0.081718
PERF: core1: instrs=746190, cycles=9349514, IPC=0.079811
PERF: core2: instrs=746190, cycles=9311336, IPC=0.080138
PERF: core3: instrs=690850, cycles=9232326, IPC=0.074829
PERF: instrs=2949113, cycles=9372268, IPC=0.314664
PERF: core0: instrs=96494, cycles=630023, IPC=0.153159
PERF: core1: instrs=52641, cycles=433567, IPC=0.121414
PERF: core2: instrs=52641, cycles=433813, IPC=0.121345
PERF: core3: instrs=52641, cycles=433840, IPC=0.121337
PERF: instrs=254417, cycles=630023, IPC=0.403822
PERF: core0: instrs=764906, cycles=9374058, IPC=0.081598
PERF: core1: instrs=745230, cycles=9300234, IPC=0.080130
PERF: core2: instrs=745230, cycles=9306541, IPC=0.080076
PERF: core3: instrs=690200, cycles=9250408, IPC=0.074613
PERF: instrs=2945566, cycles=9374058, IPC=0.314225
PERF: core0: instrs=96473, cycles=630261, IPC=0.153068
PERF: core1: instrs=52641, cycles=434620, IPC=0.121120
PERF: core2: instrs=52641, cycles=434621, IPC=0.121119
PERF: core3: instrs=52641, cycles=434806, IPC=0.121068
PERF: instrs=254396, cycles=630261, IPC=0.403636
PERF: core0: instrs=763929, cycles=9392999, IPC=0.081330
PERF: core1: instrs=744270, cycles=9321369, IPC=0.079846
PERF: core2: instrs=744270, cycles=9361244, IPC=0.079505
PERF: core3: instrs=684001, cycles=9221817, IPC=0.074172
PERF: instrs=2936470, cycles=9392999, IPC=0.312623
PERF: core0: instrs=96452, cycles=629464, IPC=0.153229
PERF: core1: instrs=52641, cycles=436224, IPC=0.120674
PERF: core2: instrs=52641, cycles=436430, IPC=0.120617
PERF: core3: instrs=52641, cycles=436225, IPC=0.120674
PERF: instrs=254375, cycles=629464, IPC=0.404114
PERF: core0: instrs=762952, cycles=9362833, IPC=0.081487
PERF: core1: instrs=743309, cycles=9290214, IPC=0.080010
PERF: core2: instrs=743310, cycles=9314190, IPC=0.079804
PERF: core3: instrs=683372, cycles=9168389, IPC=0.074536
PERF: instrs=2932943, cycles=9362833, IPC=0.313254
PERF: core0: instrs=96431, cycles=627621, IPC=0.153645
PERF: core1: instrs=52641, cycles=432068, IPC=0.121835
PERF: core2: instrs=52641, cycles=432069, IPC=0.121835
PERF: core3: instrs=52641, cycles=432234, IPC=0.121788
PERF: instrs=254354, cycles=627621, IPC=0.405267
PERF: core0: instrs=761975, cycles=9390406, IPC=0.081144
PERF: core1: instrs=742350, cycles=9368334, IPC=0.079240
PERF: core2: instrs=742350, cycles=9330136, IPC=0.079565
PERF: core3: instrs=677254, cycles=9221849, IPC=0.073440
PERF: instrs=2923929, cycles=9390406, IPC=0.311374
PERF: core0: instrs=96410, cycles=626945, IPC=0.153777
PERF: core1: instrs=52641, cycles=430390, IPC=0.122310
PERF: core2: instrs=52641, cycles=430638, IPC=0.122240
PERF: core3: instrs=52641, cycles=430663, IPC=0.122232
PERF: instrs=254333, cycles=626945, IPC=0.405670
PERF: core0: instrs=760998, cycles=9377542, IPC=0.081151
PERF: core1: instrs=741390, cycles=9360043, IPC=0.079208
PERF: core2: instrs=741390, cycles=9338589, IPC=0.079390
PERF: core3: instrs=676648, cycles=9170760, IPC=0.073783
PERF: instrs=2920426, cycles=9377542, IPC=0.311428
PERF: core0: instrs=96389, cycles=625083, IPC=0.154202
PERF: core1: instrs=52641, cycles=429940, IPC=0.122438
PERF: core2: instrs=52641, cycles=429742, IPC=0.122494
PERF: core3: instrs=52641, cycles=429743, IPC=0.122494
PERF: instrs=254312, cycles=625083, IPC=0.406845
PERF: core0: instrs=760021, cycles=9376285, IPC=0.081058
PERF: core1: instrs=740430, cycles=9346202, IPC=0.079223
PERF: core2: instrs=740430, cycles=9321952, IPC=0.079429
PERF: core3: instrs=670612, cycles=9130346, IPC=0.073449
PERF: instrs=2911493, cycles=9376285, IPC=0.310517
PERF: core0: instrs=96368, cycles=631669, IPC=0.152561
PERF: core1: instrs=52641, cycles=434181, IPC=0.121242
PERF: core2: instrs=52641, cycles=434372, IPC=0.121189
PERF: core3: instrs=52641, cycles=434394, IPC=0.121183
PERF: instrs=254291, cycles=631669, IPC=0.402570
PERF: core0: instrs=759044, cycles=9377220, IPC=0.080946
PERF: core1: instrs=739470, cycles=9299993, IPC=0.079513
PERF: core2: instrs=739470, cycles=9335508, IPC=0.079210
PERF: core3: instrs=670031, cycles=9188925, IPC=0.072917
PERF: instrs=2908015, cycles=9377220, IPC=0.310115
PERF: core0: instrs=96347, cycles=633275, IPC=0.152141
PERF: core1: instrs=52641, cycles=439199, IPC=0.119857
PERF: core2: instrs=52641, cycles=439195, IPC=0.119858
PERF: core3: instrs=52641, cycles=439346, IPC=0.119817
PERF: instrs=254270, cycles=633275, IPC=0.401516
PERF: core0: instrs=758067, cycles=9344732, IPC=0.081122
PERF: core1: instrs=738510, cycles=9273261, IPC=0.079639
PERF: core2: instrs=738510, cycles=9322073, IPC=0.079222
PERF: core3: instrs=664072, cycles=9147754, IPC=0.072594
PERF: instrs=2899159, cycles=9344732, IPC=0.310245
PERF: core0: instrs=96326, cycles=623938, IPC=0.154384
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254249, cycles=623938, IPC=0.407491
PERF: core0: instrs=757090, cycles=9334503, IPC=0.081107
PERF: core1: instrs=737548, cycles=9273693, IPC=0.079531
PERF: core2: instrs=737550, cycles=9294258, IPC=0.079355
PERF: core3: instrs=663512, cycles=9104982, IPC=0.072874
PERF: instrs=2895700, cycles=9334503, IPC=0.310215
PERF: core0: instrs=96305, cycles=631551, IPC=0.152490
PERF: core1: instrs=52641, cycles=436475, IPC=0.120605
PERF: core2: instrs=52641, cycles=436473, IPC=0.120605
PERF: core3: instrs=52641, cycles=436640, IPC=0.120559
PERF: instrs=254228, cycles=631551, IPC=0.402545
PERF: core0: instrs=756113, cycles=9347283, IPC=0.080891
PERF: core1: instrs=736590, cycles=9303979, IPC=0.079169
PERF: core2: instrs=736590, cycles=9305324, IPC=0.079158
PERF: core3: instrs=657639, cycles=9123966, IPC=0.072078
PERF: instrs=2886932, cycles=9347283, IPC=0.308853
PERF: core0: instrs=96652, cycles=620527, IPC=0.155758
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254575, cycles=620527, IPC=0.410256
PERF: core0: instrs=755136, cycles=9334814, IPC=0.080895
PERF: core1: instrs=735630, cycles=9304574, IPC=0.079061
PERF: core2: instrs=735630, cycles=9312662, IPC=0.078992
PERF: core3: instrs=657100, cycles=9123817, IPC=0.072020
PERF: instrs=2883496, cycles=9334814, IPC=0.308897
PERF: core0: instrs=96629, cycles=635903, IPC=0.151956
PERF: core1: instrs=52641, cycles=441046, IPC=0.119355
PERF: core2: instrs=52641, cycles=441044, IPC=0.119355
PERF: core3: instrs=52641, cycles=441292, IPC=0.119288
PERF: instrs=254552, cycles=635903, IPC=0.400300
PERF: core0: instrs=754159, cycles=9325026, IPC=0.080875
PERF: core1: instrs=734670, cycles=9243663, IPC=0.079478
PERF: core2: instrs=734670, cycles=9306408, IPC=0.078942
PERF: core3: instrs=651310, cycles=9113726, IPC=0.071465
PERF: instrs=2874809, cycles=9325026, IPC=0.308290
PERF: core0: instrs=96606, cycles=631332, IPC=0.153019
PERF: core1: instrs=52641, cycles=441126, IPC=0.119333
PERF: core2: instrs=52641, cycles=441127, IPC=0.119333
PERF: core3: instrs=52641, cycles=441293, IPC=0.119288
PERF: instrs=254529, cycles=631332, IPC=0.403162
PERF: core0: instrs=753182, cycles=9331967, IPC=0.080710
PERF: core1: instrs=733710, cycles=9248347, IPC=0.079334
PERF: core2: instrs=733710, cycles=9296188, IPC=0.078926
PERF: core3: instrs=650792, cycles=9165268, IPC=0.071006
PERF: instrs=2871394, cycles=9331967, IPC=0.307694
PERF: core0: instrs=96583, cycles=630431, IPC=0.153202
PERF: core1: instrs=52641, cycles=439199, IPC=0.119857
PERF: core2: instrs=52641, cycles=439195, IPC=0.119858
PERF: core3: instrs=52641, cycles=439346, IPC=0.119817
PERF: instrs=254506, cycles=630431, IPC=0.403702
PERF: core0: instrs=752205, cycles=9318131, IPC=0.080725
